model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,validation_accuracy
Logistic Regression,0.5310077519379846,0.4146465970731388,0.42317272259894995,0.37388158642304825,0.451739053576871,0.5329829648423342
Random Forest,0.529285099052541,0.348695897573003,0.41609964041167263,0.3641046491158264,0.4436817112686483,0.5351576658209496
Gradient Boosting,0.529285099052541,0.34605681559248946,0.42093686032659133,0.3696783543712015,0.44809975319916934,0.5376948169626676
Decision Tree,0.52885443583118,0.3601069520127371,0.409845567892865,0.35685359187663335,0.4371134012115686,0.5369699166364625
