class,feature,coefficient,abs_coefficient
Draw,is_friendly,0.08759692502667973,0.08759692502667973
Draw,home_goals_conceded_avg_5,-0.06042369066406248,0.06042369066406248
Draw,away_goals_conceded_avg_5,-0.0577356006786754,0.0577356006786754
Draw,away_draw_rate_5,0.04217116112629484,0.04217116112629484
Draw,away_loss_rate_5,0.041967508225759065,0.041967508225759065
Draw,away_win_rate_5,0.038635676772193706,0.038635676772193706
Draw,home_goals_scored_avg_5,-0.038534713371296214,0.038534713371296214
Draw,away_goal_diff_avg_5,0.03288180479856846,0.03288180479856846
Draw,home_win_rate_5,0.0308517658018732,0.0308517658018732
Draw,home_draw_rate_5,0.01733716921530964,0.01733716921530964
Draw,home_goal_diff_avg_5,0.01668713483833703,0.01668713483833703
Draw,goal_diff_difference,-0.01278007738896026,0.01278007738896026
Draw,away_goals_scored_avg_5,-0.012123534822074906,0.012123534822074906
Draw,home_loss_rate_5,0.01206524367469297,0.01206524367469297
Draw,win_rate_difference,-0.005436828080410681,0.005436828080410681
Draw,is_world_cup,-0.004757854395291885,0.004757854395291885
Draw,neutral,0.0035614820398307927,0.0035614820398307927
Home loss,away_draw_rate_5,0.16389591636145454,0.16389591636145454
Home loss,away_loss_rate_5,0.16305260243995479,0.16305260243995479
Home loss,home_goals_conceded_avg_5,0.15316033171733637,0.15316033171733637
Home loss,win_rate_difference,-0.1486828051279425,0.1486828051279425
Home loss,home_draw_rate_5,-0.14359291317215692,0.14359291317215692
Home loss,goal_diff_difference,-0.12110618131676133,0.12110618131676133
Home loss,home_loss_rate_5,-0.11865530119620332,0.11865530119620332
Home loss,away_win_rate_5,0.11348039098591782,0.11348039098591782
Home loss,neutral,0.10418865306894345,0.10418865306894345
Home loss,away_goals_conceded_avg_5,-0.09398542882744,0.09398542882744
Home loss,home_goal_diff_avg_5,-0.08783912535670135,0.08783912535670135
Home loss,home_win_rate_5,-0.08666412122215232,0.08666412122215232
Home loss,away_goal_diff_avg_5,0.07244453699996643,0.07244453699996643
Home loss,is_friendly,-0.03958663837931471,0.03958663837931471
Home loss,home_goals_scored_avg_5,0.021264587416094615,0.021264587416094615
Home loss,away_goals_scored_avg_5,0.013922070780473177,0.013922070780473177
Home loss,is_world_cup,0.0075752077095287045,0.0075752077095287045
Home win,away_draw_rate_5,-0.20606707748774994,0.20606707748774994
Home win,away_loss_rate_5,-0.2050201106657139,0.2050201106657139
Home win,win_rate_difference,0.1541196332083537,0.1541196332083537
Home win,away_win_rate_5,-0.15211606775810996,0.15211606775810996
Home win,away_goals_conceded_avg_5,0.15172102950611469,0.15172102950611469
Home win,goal_diff_difference,0.13388625870572,0.13388625870572
Home win,home_draw_rate_5,0.12625574395684744,0.12625574395684744
Home win,neutral,-0.10775013510877483,0.10775013510877483
Home win,home_loss_rate_5,0.10659005752151023,0.10659005752151023
Home win,away_goal_diff_avg_5,-0.1053263417985345,0.1053263417985345
Home win,home_goals_conceded_avg_5,-0.09273664105327344,0.09273664105327344
Home win,home_goal_diff_avg_5,0.07115199051836474,0.07115199051836474
Home win,home_win_rate_5,0.05581235542027956,0.05581235542027956
Home win,is_friendly,-0.04801028664736542,0.04801028664736542
Home win,home_goals_scored_avg_5,0.0172701259552016,0.0172701259552016
Home win,is_world_cup,-0.002817353314236832,0.002817353314236832
Home win,away_goals_scored_avg_5,-0.0017985359583980562,0.0017985359583980562
