model,accuracy,f1_macro,f1_macro_delta_vs_baseline,precision_macro,recall_macro,f1_weighted,cv_macro_f1_mean,cv_macro_f1_std,validation_macro_f1
Logistic Regression,0.5314384151593454,0.498332908093116,0.28284665529995556,0.5007707042006904,0.5034308882962565,0.5385384010685662,0.5301527563956373,0.04962741723586358,0.5240340703808766
Random Forest,0.5426356589147286,0.4961642538212146,0.2806780010280542,0.4945394141849671,0.49919418311513836,0.5428287923142728,0.5167361211358563,0.05631781502444488,0.5172536703474157
Gradient Boosting,0.533161068044789,0.4955017519903575,0.28001549919719715,0.49552773947854756,0.4987210229961147,0.5376371877378607,0.5326657528095274,0.04540927239000596,0.5238682947764981
Decision Tree,0.5155038759689923,0.47735932083185134,0.2618730680386909,0.4781570741241416,0.4809403285951337,0.5204957857920973,0.5014416435963344,0.05537783788793664,0.5003786113525531
Baseline,0.47760551248923344,0.2154862527931604,0.0,0.15920183749641115,0.3333333333333333,0.30875226659898564,,,
