class,feature,coefficient,abs_coefficient
Draw,away_team_home_draw_rate,0.09949738973783243,0.09949738973783243
Draw,away_team_home_scored_avg,-0.08134209127024558,0.08134209127024558
Draw,away_team_away_conceded_avg,-0.07738934033762232,0.07738934033762232
Draw,is_friendly,0.07286908400983348,0.07286908400983348
Draw,home_team_home_conceded_avg,-0.06951555701317036,0.06951555701317036
Draw,home_points,0.056758731764069224,0.056758731764069224
Draw,away_ranking,-0.056032825903320746,0.056032825903320746
Draw,home_h2h_draw_rate,0.04417324967037631,0.04417324967037631
Draw,home_team_home_scored_avg,-0.03290559496594083,0.03290559496594083
Draw,home_elo,-0.03193639451168681,0.03193639451168681
Draw,away_points,-0.02849009364234496,0.02849009364234496
Draw,home_h2h_win_rate,0.02665197121668015,0.02665197121668015
Draw,away_team_home_win_rate,-0.02249536061095859,0.02249536061095859
Draw,home_team_away_draw_rate,-0.01767636015381766,0.01767636015381766
Draw,home_team_away_scored_avg,-0.01654915636283298,0.01654915636283298
Draw,home_team_away_conceded_avg,-0.014455363259114836,0.014455363259114836
Draw,neutral,-0.01403419009386426,0.01403419009386426
Draw,home_team_away_win_rate,-0.013141520131065738,0.013141520131065738
Draw,home_ranking,0.013050455882285683,0.013050455882285683
Draw,home_days_since_last,-0.010348727946281513,0.010348727946281513
Draw,is_world_cup,-0.010033159674977489,0.010033159674977489
Draw,home_team_home_draw_rate,0.00882605799057234,0.00882605799057234
Draw,away_team_home_conceded_avg,-0.006398594094063845,0.006398594094063845
Draw,away_team_away_draw_rate,-0.002817506303618867,0.002817506303618867
Draw,away_team_away_scored_avg,-0.0026406712807629067,0.0026406712807629067
Draw,away_days_since_last,-0.002333184276526452,0.002333184276526452
Draw,home_team_home_win_rate,-0.001393514751450648,0.001393514751450648
Draw,away_team_away_win_rate,-0.00038148286092464016,0.00038148286092464016
Draw,away_elo,-3.805358939798411e-06,3.805358939798411e-06
Home loss,away_elo,0.47178720448193706,0.47178720448193706
Home loss,home_elo,-0.4618341995287819,0.4618341995287819
Home loss,neutral,0.162553162917987,0.162553162917987
Home loss,home_ranking,0.1398805422666411,0.1398805422666411
Home loss,away_ranking,-0.13119560041997097,0.13119560041997097
Home loss,home_team_home_conceded_avg,0.12524031906743174,0.12524031906743174
Home loss,away_team_away_conceded_avg,-0.09602910155413621,0.09602910155413621
Home loss,home_h2h_win_rate,-0.09138283212523136,0.09138283212523136
Home loss,away_team_away_win_rate,-0.07404929714063373,0.07404929714063373
Home loss,home_team_away_conceded_avg,0.0721741701390197,0.0721741701390197
Home loss,away_team_away_scored_avg,0.07076254733773052,0.07076254733773052
Home loss,away_points,0.05770751479430903,0.05770751479430903
Home loss,home_team_away_win_rate,-0.03253842113164502,0.03253842113164502
Home loss,home_team_away_scored_avg,0.027611723252279268,0.027611723252279268
Home loss,away_team_away_draw_rate,-0.02477802610791159,0.02477802610791159
Home loss,away_days_since_last,-0.022747476627211792,0.022747476627211792
Home loss,home_points,-0.021393181581970202,0.021393181581970202
Home loss,away_team_home_draw_rate,-0.020099454519026873,0.020099454519026873
Home loss,home_team_home_draw_rate,-0.01946808437298833,0.01946808437298833
Home loss,away_team_home_win_rate,-0.0178221134226805,0.0178221134226805
Home loss,home_days_since_last,0.01755756704131061,0.01755756704131061
Home loss,is_friendly,-0.015217342066817779,0.015217342066817779
Home loss,home_h2h_draw_rate,-0.015043289967465947,0.015043289967465947
Home loss,away_team_home_scored_avg,-0.014421514431176202,0.014421514431176202
Home loss,home_team_home_scored_avg,-0.013633710814411905,0.013633710814411905
Home loss,home_team_home_win_rate,0.010684606398508177,0.010684606398508177
Home loss,away_team_home_conceded_avg,-0.009178530234809199,0.009178530234809199
